,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-AR-A0TS-01,179.7642,597.5639,1826.1297,202.3576,2381.1395,637.852,227.8978,4338.2449,1858.5462
TCGA-A2-A04U-01,5.715,1230.3364,352.2535,286.2709,2519.2882,63.3849,713.3394,4361.0859,816.7294
TCGA-A2-A3XT-01,13.1231,271.3657,1501.7053,128.5472,3757.9913,536.5577,157.1795,3567.1092,1319.1743
TCGA-AR-A256-01,1.7753,589.3247,1077.5945,176.3444,3008.2107,247.9473,576.9658,5488.8675,2860.5666
TCGA-BH-A1F6-01,21.2164,254.2008,1109.3824,282.8854,7120.6978,628.0057,1101.3673,2727.9585,1489.8633
TCGA-E2-A1LH-01,21.6091,369.1453,1030.2913,106.502,8254.6788,324.9084,50.9358,1776.5773,1602.9327
TCGA-AO-A128-01,18.7246,161.6852,1289.2809,150.882,6368.2497,2435.2782,236.635,1759.8372,1645.0475
TCGA-AR-A0U4-01,312.9509,184.9811,1373.7547,121.2642,1427.001,1432.1539,164.5483,2798.6946,1196.1525
TCGA-AO-A129-01,20.0772,458.5985,1317.7606,174.9035,7835.5212,518.1467,306.9498,3435.1351,1337.8378
TCGA-GI-A2C9-01,66.7891,386.0444,517.9496,202.371,1913.5081,501.2523,131.9085,1878.7778,1297.3785
TCGA-BH-A42U-01,23.064,367.0422,660.5679,69.1921,6754.8745,275.6871,34.2357,186.6744,682.9112
TCGA-BH-A1FC-01,130.9305,490.8746,1043.3248,664.3619,4693.196,586.0978,461.6403,5623.5381,2067.8191
TCGA-AO-A124-01,3.722,670.6521,1305.8478,356.4527,2185.0977,361.3199,480.1374,4259.3945,1650.8482
