"","FLT3","GeneID","Gene_Expression","TCGA"
"297",40.9585,"FANCL",8.36467529068448,"Non-TNBC"
"298",4.0438,"FANCL",8.69759418027549,"Non-TNBC"
"299",3.6079,"FANCL",8.26397851733335,"Non-TNBC"
"300",1.0205,"FANCL",7.68671061310562,"Non-TNBC"
"301",9.4781,"FANCL",7.792141504943,"Non-TNBC"
"302",381.2173,"FANCL",7.73930807086039,"Non-TNBC"
"303",1254.1791,"FANCL",9.26399775932768,"Non-TNBC"
"304",17.1162,"FANCL",10.5535764997187,"Non-TNBC"
"305",2,"FANCL",8.16970457286123,"Non-TNBC"
"306",177.8038,"FANCL",9.20284915296267,"Non-TNBC"
"307",635.1166,"FANCL",7.70875972995465,"Non-TNBC"
"308",72.7493,"FANCL",6.98415296709313,"Non-TNBC"
"309",57.5019,"FANCL",7.96487394547912,"Non-TNBC"
"310",18.6396,"FANCL",7.81052343699705,"Non-TNBC"
"311",108.1967,"FANCL",8.47575004617878,"Non-TNBC"
"312",652.3449,"FANCL",8.50317220414104,"Non-TNBC"
"313",56.0128,"FANCL",8.82724964462369,"Non-TNBC"
"314",0,"FANCL",8.2499392392609,"Non-TNBC"
"315",842.6029,"FANCL",8.77631557221747,"Non-TNBC"
"316",55.5629,"FANCL",7.96371339729969,"Non-TNBC"
"317",4.2595,"FANCL",8.10797654680503,"Non-TNBC"
"318",66.3677,"FANCL",8.82909700879171,"Non-TNBC"
"319",3.0544,"FANCL",7.97990244193659,"Non-TNBC"
"320",0.4068,"FANCL",8.58099226130886,"Non-TNBC"
"321",2.0816,"FANCL",8.76393801429269,"Non-TNBC"
"322",182.7848,"FANCL",7.93240729534585,"Non-TNBC"
"323",72.8324,"FANCL",8.39529248790489,"Non-TNBC"
"324",26.2812,"FANCL",8.57801938124592,"Non-TNBC"
"325",5.4054,"FANCL",8.33401221322687,"Non-TNBC"
"326",53.3445,"FANCL",7.89640143362663,"Non-TNBC"
"327",296.4251,"FANCL",8.52401821461655,"Non-TNBC"
"328",53.8089,"FANCL",7.7242785006904,"Non-TNBC"
